waterMovementSpeed,lavaMovementSpeed,honeyMovementSpeed,teleportStyle,teleportTime,netSpam,nameOver,SpawnedFromStatue,dripping,drippingSlime,altTexture,visualOffset,catchItem,releaseOwner,rarity,lastInteraction,takenDamageMultiplier,gfxOffY,stepSpeed,teleporting,stairFall,netStream,npcNameLookup,setFrameSize,netSkip,netAlways,realLife,_givenName,npcSlots,dontCountMe,midas,ichor,onFire,onFire2,onFrostBurn,poisoned,venom,shadowFlame,soulDrain,lifeRegen,lifeRegenCount,lifeRegenExpectedLossPerSecond,confused,loveStruck,stinky,dryadWard,immortal,chaseable,canGhostHeal,javelined,celled,dryadBane,daybreak,dontTakeDamageFromHostiles,betsysCurse,oiled,soundDelay,directionY,type,aiAction,aiStyle,justHit,timeLeft,target,damage,defense,defDamage,defDefense,coldDamage,trapImmune,life,lifeMax,frameCounter,color,alpha,hide,scale,knockBackResist,oldDirectionY,oldTarget,rotation,noGravity,noTileCollide,netUpdate,netUpdate2,collideX,collideY,boss,spriteDirection,behindTiles,lavaImmune,value,extraValue,dontTakeDamage,netID,townNPC,homeless,homeTileX,homeTileY,oldHomeless,oldHomeTileX,oldHomeTileY,friendly,closeDoor,doorX,doorY,friendlyRegen,breath,breathCounter,reflectingProjectiles,lastPortalColorIndex,MoonLordCountdown,immuneTime,maxAI,goldCritterChance,waveKills,waveNumber,taxCollector,spawnSpaceX,spawnSpaceY,gravity,maxAttack,fireFlyFriendly,fireFlyChance,fireFlyMultiple,butterflyChance,golemBoss,plantBoss,crimsonBoss,sWidth,sHeight,spawnRangeX,spawnRangeY,safeRangeX,safeRangeY,activeRangeX,activeRangeY,townRangeX,townRangeY,noSpawnCycle,activeTime,defaultSpawnRate,defaultMaxSpawns,ShieldStrengthTowerSolar,ShieldStrengthTowerVortex,ShieldStrengthTowerNebula,ShieldStrengthTowerStardust,LunarShieldPowerNormal,LunarShieldPowerExpert,spawnRate,maxSpawns,travelNPC,ignorePlayerInteractions,NPC_TARGETS_START,MaxMoonLordCountdown,nameOverIncrement,nameOverDistance,maxBuffs,breathMax,whoAmI,active,oldDirection,direction,width,height,wet,honeyWet,wetCount,lavaWet
0.5,0.5,0.25,0,0,0,0,FALSE,FALSE,FALSE,0,{X:0 Y:0},0,255,0,255,1,0,0,FALSE,FALSE,32,0,FALSE,-2,FALSE,-1,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,FALSE,750,255,0,0,0,0,FALSE,FALSE,0,0,0,{R:0 G:0 B:0 A:0},0,FALSE,1,1,0,255,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-1,FALSE,FALSE,0,0,FALSE,0,FALSE,FALSE,-1,-1,FALSE,-1,-1,FALSE,FALSE,0,0,0,200,0,FALSE,0,0,20,4,150,0,0,FALSE,3,3,0.3,20,4,31,28,999999,-1,-1,-1,1920,1080,84,46,62,34,4032,2268,1920,1080,FALSE,750,600,5,0,0,0,0,100,150,600,5,FALSE,0,300,3600,0.025,400,5,200,0,TRUE,0,0,0,0,FALSE,FALSE,0,FALSE
0.5,0.5,0.25,0,0,0,0,FALSE,FALSE,FALSE,0,{X:0 Y:0},0,255,0,255,1,0,0,FALSE,FALSE,32,0,FALSE,-2,FALSE,-1,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,0,1,FALSE,750,255,7(14),2,7(14),2,FALSE,FALSE,25(50),25(50),0,{R:0 G:80 B:255 A:100},175,FALSE,1,1(0.9),0,255,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-1,FALSE,FALSE,25(62),0,FALSE,1,FALSE,FALSE,-1,-1,FALSE,-1,-1,FALSE,FALSE,0,0,0,200,0,FALSE,0,0,20,4,150,0,0,FALSE,3,3,0.3,20,4,31,28,999999,-1,-1,-1,1920,1080,84,46,62,34,4032,2268,1920,1080,FALSE,750,600,5,0,0,0,0,100,150,600,5,FALSE,0,300,3600,0.025,400,5,200,0,TRUE,0,0,24,18,FALSE,FALSE,0,FALSE
0.5,0.5,0.25,0,0,0,0,FALSE,FALSE,FALSE,0,{X:0 Y:0},0,255,0,255,1,0,0,FALSE,FALSE,32,0,FALSE,-2,FALSE,-1,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,2,0,2,FALSE,750,255,18(36),2,18(36),2,FALSE,FALSE,60(120),60(120),0,{R:0 G:0 B:0 A:0},0,FALSE,1,0.8(0.72),0,255,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-1,FALSE,FALSE,75(187),0,FALSE,2,FALSE,FALSE,-1,-1,FALSE,-1,-1,FALSE,FALSE,0,0,0,200,0,FALSE,0,0,20,4,150,0,0,FALSE,3,3,0.3,20,4,31,28,999999,-1,-1,-1,1920,1080,84,46,62,34,4032,2268,1920,1080,FALSE,750,600,5,0,0,0,0,100,150,600,5,FALSE,0,300,3600,0.025,400,5,200,0,TRUE,0,0,30,32,FALSE,FALSE,0,FALSE
0.5,0.5,0.25,0,0,0,0,FALSE,FALSE,FALSE,0,{X:0 Y:0},0,255,0,255,1,0,0,FALSE,FALSE,32,0,FALSE,-2,FALSE,-1,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,3,0,3,FALSE,750,255,14(28),6,14(28),6,FALSE,FALSE,45(90),45(90),0,{R:0 G:0 B:0 A:0},0,FALSE,1,0.5(0.45),0,255,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-1,FALSE,FALSE,60(150),0,FALSE,3,FALSE,FALSE,-1,-1,FALSE,-1,-1,FALSE,FALSE,0,0,0,200,0,FALSE,0,0,20,4,150,0,0,FALSE,3,3,0.3,20,4,31,28,999999,-1,-1,-1,1920,1080,84,46,62,34,4032,2268,1920,1080,FALSE,750,600,5,0,0,0,0,100,150,600,5,FALSE,0,300,3600,0.025,400,5,200,0,TRUE,0,0,18,40,FALSE,FALSE,0,FALSE
0.5,0.5,0.25,0,0,0,0,FALSE,FALSE,FALSE,0,{X:0 Y:0},0,255,0,255,1,0,0,FALSE,FALSE,32,0,FALSE,-2,FALSE,-1,,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,4,0,4,FALSE,22500,255,15(30),12,15(30),12,FALSE,FALSE,2800(3640),2800(3640),0,{R:0 G:0 B:0 A:0},0,FALSE,1,0,0,255,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,-1,FALSE,FALSE,30000(75000),0,FALSE,4,FALSE,FALSE,-1,-1,FALSE,-1,-1,FALSE,FALSE,0,0,0,200,0,FALSE,0,0,20,4,150,0,0,FALSE,3,3,0.3,20,4,31,28,999999,-1,-1,-1,1920,1080,84,46,62,34,4032,2268,1920,1080,FALSE,750,600,5,0,0,0,0,100,150,600,5,FALSE,0,300,3600,0.025,400,5,200,0,TRUE,0,0,100,110,FALSE,FALSE,0,FALSE
0.5,0.5,0.25,0,0,0,0,FALSE,FALSE,FALSE,0,{X:0 Y:0},0,255,0,255,1,0,0,FALSE,FALSE,32,0,FALSE,-2,FALSE,-1,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,5,0,5,FALSE,750,255,12(24),0,12(24),0,FALSE,FALSE,8(12),8(12),0,{R:0 G:0 B:0 A:0},0,FALSE,1,1(0.9),0,255,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-1,FALSE,FALSE,0,0,FALSE,5,FALSE,FALSE,-1,-1,FALSE,-1,-1,FALSE,FALSE,0,0,0,200,0,FALSE,0,0,20,4,150,0,0,FALSE,3,3,0.3,20,4,31,28,999999,-1,-1,-1,1920,1080,84,46,62,34,4032,2268,1920,1080,FALSE,750,600,5,0,0,0,0,100,150,600,5,FALSE,0,300,3600,0.025,400,5,200,0,TRUE,0,0,20,20,FALSE,FALSE,0,FALSE
0.5,0.5,0.25,0,0,0,0,FALSE,FALSE,FALSE,0,{X:0 Y:0},0,255,0,255,1,0,0,FALSE,FALSE,32,0,FALSE,-2,FALSE,-1,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,6,0,5,FALSE,750,255,22(44),8,22(44),8,FALSE,FALSE,40(80),40(80),0,{R:0 G:0 B:0 A:0},0,FALSE,1,0.5(0.45),0,255,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-1,FALSE,FALSE,90(225),0,FALSE,6,FALSE,FALSE,-1,-1,FALSE,-1,-1,FALSE,FALSE,0,0,0,200,0,FALSE,0,0,20,4,150,0,0,FALSE,3,3,0.3,20,4,31,28,999999,-1,-1,-1,1920,1080,84,46,62,34,4032,2268,1920,1080,FALSE,750,600,5,0,0,0,0,100,150,600,5,FALSE,0,300,3600,0.025,400,5,200,0,TRUE,0,0,30,30,FALSE,FALSE,0,FALSE
0.5,0.5,0.25,0,0,0,0,FALSE,FALSE,FALSE,0,{X:0 Y:0},0,255,0,255,1,0,0,FALSE,FALSE,32,0,FALSE,-2,TRUE,-1,,3.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,7,0,6,FALSE,750,255,31(62),2,31(62),2,FALSE,FALSE,100(200),100(200),0,{R:0 G:0 B:0 A:0},0,FALSE,1,0,0,255,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-1,TRUE,FALSE,140(350),0,FALSE,7,FALSE,FALSE,-1,-1,FALSE,-1,-1,FALSE,FALSE,0,0,0,200,0,FALSE,0,0,20,4,150,0,0,FALSE,3,3,0.3,20,4,31,28,999999,-1,-1,-1,1920,1080,84,46,62,34,4032,2268,1920,1080,FALSE,750,600,5,0,0,0,0,100,150,600,5,FALSE,0,300,3600,0.025,400,5,200,0,TRUE,0,0,22,22,FALSE,FALSE,0,FALSE
0.5,0.5,0.25,0,0,0,0,FALSE,FALSE,FALSE,0,{X:0 Y:0},0,255,0,255,1,0,0,FALSE,FALSE,32,0,FALSE,-2,TRUE,-1,,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,8,0,6,FALSE,750,255,16(32),6,16(32),6,FALSE,FALSE,100(200),100(200),0,{R:0 G:0 B:0 A:0},0,FALSE,1,0,0,255,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-1,TRUE,FALSE,140(350),0,FALSE,8,FALSE,FALSE,-1,-1,FALSE,-1,-1,FALSE,FALSE,0,0,0,200,0,FALSE,0,0,20,4,150,0,0,FALSE,3,3,0.3,20,4,31,28,999999,-1,-1,-1,1920,1080,84,46,62,34,4032,2268,1920,1080,FALSE,750,600,5,0,0,0,0,100,150,600,5,FALSE,0,300,3600,0.025,400,5,200,0,TRUE,0,0,22,22,FALSE,FALSE,0,FALSE
0.5,0.5,0.25,0,0,0,0,FALSE,FALSE,FALSE,0,{X:0 Y:0},0,255,0,255,1,0,0,FALSE,FALSE,32,0,FALSE,-2,TRUE,-1,,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,9,0,6,FALSE,750,255,13(26),10,13(26),10,FALSE,FALSE,100(200),100(200),0,{R:0 G:0 B:0 A:0},0,FALSE,1,0,0,255,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-1,TRUE,FALSE,140(350),0,FALSE,9,FALSE,FALSE,-1,-1,FALSE,-1,-1,FALSE,FALSE,0,0,0,200,0,FALSE,0,0,20,4,150,0,0,FALSE,3,3,0.3,20,4,31,28,999999,-1,-1,-1,1920,1080,84,46,62,34,4032,2268,1920,1080,FALSE,750,600,5,0,0,0,0,100,150,600,5,FALSE,0,300,3600,0.025,400,5,200,0,TRUE,0,0,22,22,FALSE,FALSE,0,FALSE
